ORIGIN,DEST,Count
ABE,ATL,67
ABE,CLT,85
ABE,DTW,87
ABE,FLL,4
ABE,ORD,45
ABE,PGD,9
ABE,PIE,11
ABE,SFB,31
ABI,DFW,170
ABQ,ATL,58
ABQ,AUS,25
ABQ,BWI,28
ABQ,DAL,143
ABQ,DEN,133
ABQ,DFW,219
ABQ,HOU,87
ABQ,IAH,127
ABQ,JFK,19
ABQ,LAS,104
ABQ,LAX,68
ABQ,MCI,28
ABQ,MCO,14
ABQ,MDW,34
ABQ,MSP,3
ABQ,OAK,55
ABQ,ORD,89
ABQ,PHX,298
ABQ,SAN,70
ABQ,SEA,31
ABQ,SFO,59
ABQ,SJC,5
ABQ,SLC,34
ABR,MSP,62
ABY,ATL,84
ACT,DFW,116
ACV,LAX,31
ACV,SFO,98
ACY,FLL,87
ACY,MCO,62
ACY,MYR,31
ACY,PBI,31
ACY,RSW,56
ACY,TPA,31
ADK,ANC,9
ADQ,ANC,53
AEX,ATL,109
AEX,DFW,88
AEX,IAH,58
AGS,ATL,224
AGS,CLT,115
ALB,ATL,85
ALB,BWI,145
ALB,CLT,88
ALB,DCA,115
ALB,DEN,3
ALB,DTW,48
ALB,EWR,25
ALB,FLL,60
ALB,IAD,1
ALB,MCO,108
ALB,MDW,56
ALB,MSP,2
ALB,ORD,143
ALB,PGD,13
ALB,PIE,13
ALB,RSW,12
ALB,SFB,13
ALB,TPA,34
ALO,ORD,54
AMA,DAL,116
AMA,DFW,177
AMA,IAH,68
AMA,LAS,31
AMA,PHX,31
ANC,ADK,9
ANC,ADQ,53
ANC,BET,70
ANC,CDV,30
ANC,DEN,37
ANC,FAI,194
ANC,HNL,31
ANC,JNU,119
ANC,KOA,15
ANC,LAX,27
ANC,MSP,21
ANC,OGG,17
ANC,OME,36
ANC,ORD,11
ANC,OTZ,57
ANC,PDX,68
ANC,PHX,23
ANC,SCC,62
ANC,SEA,437
APN,DTW,31
APN,PLN,22
ART,PHL,62
ASE,ATL,31
ASE,DEN,227
ASE,DFW,101
ASE,IAH,99
ASE,LAX,160
ASE,MSP,6
ASE,ORD,142
ASE,PHX,23
ASE,SFO,68
ASE,SLC,64
ATL,ABE,67
ATL,ABQ,58
ATL,ABY,84
ATL,AEX,109
ATL,AGS,225
ATL,ALB,85
ATL,ASE,31
ATL,ATW,57
ATL,AUS,287
ATL,AVL,195
ATL,AVP,27
ATL,BDL,191
ATL,BHM,253
ATL,BMI,85
ATL,BNA,412
ATL,BOS,522
ATL,BQK,84
ATL,BTR,175
ATL,BTV,31
ATL,BUF,117
ATL,BWI,508
ATL,BZN,8
ATL,CAE,245
ATL,CAK,87
ATL,CHA,271
ATL,CHO,135
ATL,CHS,277
ATL,CID,62
ATL,CLE,278
ATL,CLT,522
ATL,CMH,304
ATL,COS,23
ATL,CRW,117
ATL,CSG,83
ATL,CVG,198
ATL,DAB,119
ATL,DAL,296
ATL,DAY,113
ATL,DCA,599
ATL,DEN,435
ATL,DFW,559
ATL,DHN,115
ATL,DSM,85
ATL,DTW,451
ATL,ECP,146
ATL,EGE,31
ATL,ELM,1
ATL,ELP,60
ATL,EVV,84
ATL,EWN,56
ATL,EWR,519
ATL,EYW,155
ATL,FAR,5
ATL,FAY,141
ATL,FLL,785
ATL,FNT,87
ATL,FSD,26
ATL,FSM,54
ATL,FWA,116
ATL,GNV,193
ATL,GPT,141
ATL,GRB,30
ATL,GRR,136
ATL,GSO,221
ATL,GSP,309
ATL,GTR,83
ATL,HDN,31
ATL,HNL,31
ATL,HOU,336
ATL,HPN,140
ATL,HSV,194
ATL,IAD,321
ATL,IAH,433
ATL,ICT,85
ATL,ILM,137
ATL,IND,340
ATL,JAC,10
ATL,JAN,173
ATL,JAX,425
ATL,JFK,271
ATL,LAS,373
ATL,LAX,525
ATL,LEX,193
ATL,LFT,88
ATL,LGA,791
ATL,LIT,172
ATL,LNK,23
ATL,MCI,311
ATL,MCO,804
ATL,MDT,85
ATL,MDW,302
ATL,MEM,276
ATL,MGM,189
ATL,MHT,1
ATL,MIA,569
ATL,MKE,249
ATL,MLB,118
ATL,MLI,87
ATL,MLU,112
ATL,MOB,193
ATL,MSN,85
ATL,MSP,408
ATL,MSY,439
ATL,MTJ,6
ATL,MYR,88
ATL,OAJ,88
ATL,OAK,31
ATL,OKC,162
ATL,OMA,141
ATL,ORD,646
ATL,ORF,214
ATL,PBI,331
ATL,PDX,88
ATL,PHF,87
ATL,PHL,518
ATL,PHX,306
ATL,PIA,84
ATL,PIT,280
ATL,PNS,203
ATL,PSP,5
ATL,PVD,82
ATL,PWM,26
ATL,RDU,409
ATL,RIC,339
ATL,RNO,5
ATL,ROA,139
ATL,ROC,82
ATL,RST,31
ATL,RSW,297
ATL,SAN,174
ATL,SAT,250
ATL,SAV,254
ATL,SBN,114
ATL,SDF,223
ATL,SEA,206
ATL,SFO,267
ATL,SGF,117
ATL,SHV,150
ATL,SJC,83
ATL,SJU,115
ATL,SLC,227
ATL,SMF,84
ATL,SNA,88
ATL,SRQ,190
ATL,STL,336
ATL,STT,36
ATL,STX,15
ATL,SYR,82
ATL,TLH,171
ATL,TPA,576
ATL,TRI,166
ATL,TTN,18
ATL,TUL,133
ATL,TUS,56
ATL,TYS,255
ATL,VLD,87
ATL,VPS,149
ATL,XNA,161
ATW,ATL,57
ATW,AZA,9
ATW,DTW,103
ATW,LAS,8
ATW,MSP,105
ATW,ORD,81
ATW,PGD,8
ATW,PIE,9
ATW,SFB,10
AUS,ABQ,25
AUS,ATL,287
AUS,BNA,63
AUS,BOS,80
AUS,BWI,59
AUS,CLT,126
AUS,CMH,1
AUS,CVG,10
AUS,DAL,291
AUS,DCA,31
AUS,DEN,278
AUS,DFW,326
AUS,DTW,80
AUS,ELP,63
AUS,EWR,124
AUS,FLL,65
AUS,HOU,162
AUS,HRL,27
AUS,IAD,115
AUS,IAH,271
AUS,IND,7
AUS,JFK,200
AUS,LAS,136
AUS,LAX,311
AUS,LBB,28
AUS,LGB,31
AUS,MCI,28
AUS,MCO,107
AUS,MDW,71
AUS,MIA,85
AUS,MSP,59
AUS,MSY,61
AUS,OAK,31
AUS,ONT,2
AUS,ORD,211
AUS,PDX,28
AUS,PHL,75
AUS,PHX,236
AUS,RDU,3
AUS,SAN,117
AUS,SEA,78
AUS,SFB,1
AUS,SFO,198
AUS,SJC,137
AUS,SLC,88
AUS,SMF,27
AUS,SNA,17
AUS,STL,58
AUS,TPA,32
AVL,ATL,195
AVL,BWI,3
AVL,CLT,178
AVL,EWR,10
AVL,FLL,76
AVL,MCO,14
AVL,ORD,68
AVL,PGD,9
AVL,PIE,24
AVL,SFB,31
AVL,TPA,11
AVP,ATL,27
AVP,CLT,93
AVP,DTW,58
AVP,ORD,59
AZA,ATW,9
AZA,BIL,13
AZA,BIS,24
AZA,BLI,12
AZA,BLV,8
AZA,BOI,8
AZA,BZN,8
AZA,CID,14
AZA,CVG,9
AZA,DSM,8
AZA,EUG,10
AZA,FAR,29
AZA,FSD,29
AZA,FWA,5
AZA,GFK,12
AZA,GRI,9
AZA,GRR,16
AZA,GTF,10
AZA,ICT,9
AZA,IDA,10
AZA,LAS,9
AZA,MCI,8
AZA,MKE,4
AZA,MLI,9
AZA,MOT,13
AZA,MSO,10
AZA,OAK,9
AZA,OGD,8
AZA,OMA,9
AZA,PIA,13
AZA,PIE,1
AZA,PSC,10
AZA,PVU,29
AZA,RAP,17
AZA,RFD,10
AZA,SBN,8
AZA,SCK,8
AZA,SGF,10
AZA,SGU,8
AZA,STC,9
AZO,DTW,54
AZO,MSP,27
AZO,ORD,66
BDL,ATL,191
BDL,BWI,159
BDL,CLE,23
BDL,CLT,179
BDL,CVG,22
BDL,DCA,230
BDL,DEN,40
BDL,DFW,56
BDL,DTW,104
BDL,FLL,153
BDL,IAD,117
BDL,IAH,27
BDL,LAX,5
BDL,MCO,216
BDL,MDW,63
BDL,MIA,31
BDL,MSP,103
BDL,ORD,171
BDL,PBI,55
BDL,PHL,119
BDL,RDU,22
BDL,RSW,89
BDL,SJU,57
BDL,STL,31
BDL,TPA,127
BET,ANC,70
BFF,DEN,53
BFL,DEN,59
BFL,PHX,89
BFL,SFO,31
BGM,DTW,61
BGR,DCA,50
BGR,EWR,43
BGR,LGA,74
BGR,PIE,10
BGR,SFB,13
BHM,ATL,252
BHM,BWI,33
BHM,CLT,116
BHM,DAL,64
BHM,DCA,81
BHM,DEN,12
BHM,DFW,159
BHM,DTW,19
BHM,HOU,53
BHM,IAH,147
BHM,LAS,31
BHM,LGA,61
BHM,MCO,69
BHM,MDW,52
BHM,MIA,59
BHM,ORD,91
BHM,PHL,61
BHM,SFO,2
BHM,SJC,1
BHM,TPA,59
BIL,AZA,13
BIL,DEN,85
BIL,DFW,31
BIL,LAS,9
BIL,MSP,61
BIL,SLC,64
BIS,AZA,24
BIS,DEN,56
BIS,DFW,48
BIS,LAS,10
BIS,MSP,145
BIS,SFB,6
BJI,MSP,62
BLI,AZA,12
BLI,KOA,6
BLI,LAS,50
BLI,LAX,12
BLI,OAK,15
BLI,OGG,17
BLI,PSP,15
BLI,SAN,9
BLI,SEA,42
BLI,TUS,9
BLV,AZA,8
BLV,LAS,9
BLV,PGD,10
BLV,PIE,9
BLV,SFB,11
BLV,VPS,11
BMI,ATL,85
BMI,DFW,55
BMI,MCO,14
BMI,ORD,60
BMI,PIE,8
BMI,SFB,11
BNA,ATL,410
BNA,AUS,63
BNA,BOS,194
BNA,BWI,175
BNA,CHS,32
BNA,CLE,66
BNA,CLT,316
BNA,CMH,55
BNA,DAL,146
BNA,DCA,255
BNA,DEN,243
BNA,DFW,228
BNA,DTW,193
BNA,ECP,62
BNA,EWR,172
BNA,FLL,137
BNA,HOU,134
BNA,IAD,90
BNA,IAH,153
BNA,JAX,64
BNA,JFK,136
BNA,LAS,106
BNA,LAX,160
BNA,LGA,363
BNA,MCI,90
BNA,MCO,177
BNA,MDW,174
BNA,MIA,93
BNA,MKE,57
BNA,MSP,114
BNA,MSY,117
BNA,OAK,31
BNA,OKC,5
BNA,ORD,379
BNA,PGD,8
BNA,PHL,198
BNA,PHX,99
BNA,PIE,9
BNA,PIT,58
BNA,PNS,62
BNA,RDU,90
BNA,RIC,9
BNA,RSW,20
BNA,SAN,36
BNA,SAT,55
BNA,SEA,59
BNA,SFO,95
BNA,SLC,30
BNA,STL,66
BNA,TPA,122
BNA,TTN,2
BOI,AZA,8
BOI,DEN,184
BOI,DFW,61
BOI,GEG,53
BOI,IAH,31
BOI,LAS,71
BOI,LAX,112
BOI,MSP,51
BOI,OAK,64
BOI,ORD,67
BOI,PDX,56
BOI,PHX,94
BOI,SAN,62
BOI,SEA,219
BOI,SFO,155
BOI,SJC,62
BOI,SLC,193
BOI,SMF,33
BOS,ATL,522
BOS,AUS,80
BOS,BNA,194
BOS,BUF,153
BOS,BUR,31
BOS,BWI,417
BOS,CHS,34
BOS,CLE,148
BOS,CLT,326
BOS,CMH,103
BOS,CVG,103
BOS,DAL,31
BOS,DCA,644
BOS,DEN,229
BOS,DFW,215
BOS,DTW,260
BOS,EWR,397
BOS,FLL,250
BOS,HDN,9
BOS,HOU,58
BOS,IAD,133
BOS,IAH,92
BOS,IND,99
BOS,JAX,141
BOS,JFK,522
BOS,LAS,150
BOS,LAX,395
BOS,LGA,832
BOS,LGB,56
BOS,MCI,76
BOS,MCO,340
BOS,MDW,75
BOS,MIA,209
BOS,MKE,75
BOS,MSP,249
BOS,MSY,62
BOS,MYR,31
BOS,ORD,501
BOS,PBI,242
BOS,PDX,34
BOS,PHL,610
BOS,PHX,126
BOS,PIT,257
BOS,RDU,241
BOS,RIC,152
BOS,ROC,24
BOS,RSW,258
BOS,SAN,89
BOS,SAV,32
BOS,SEA,148
BOS,SFO,391
BOS,SJC,19
BOS,SJU,70
BOS,SLC,87
BOS,SMF,2
BOS,SRQ,52
BOS,STL,87
BOS,SYR,31
BOS,TPA,236
BPT,DFW,81
BQK,ATL,84
BQN,EWR,31
BQN,FLL,58
BQN,JFK,35
BQN,MCO,72
BRD,MSP,54
BRO,DFW,88
BRO,IAH,92
BRO,ORD,8
BRW,ANC,31
BRW,FAI,31
BTM,SLC,58
BTR,ATL,176
BTR,CLT,85
BTR,DCA,1
BTR,DFW,182
BTR,IAH,172
BTV,ATL,31
BTV,CLT,63
BTV,DCA,88
BTV,DTW,74
BTV,EWR,109
BTV,IAD,54
BTV,JFK,151
BTV,LGA,78
BTV,ORD,69
BUF,ATL,117
BUF,BOS,152
BUF,BWI,123
BUF,CLT,105
BUF,DCA,82
